rna_data	my_net
adipocyte.1.	fat
arachnoid_mater.1.	arachnoid_mater
artery.1.	artery
colon.1.	gut
small_intestine.1.	gut
dura_mater.1.	na
brain.1.	brain
bladder.1.	bladder
skin.1.	skin
myocardium.1.	heart
bone.1.	bone
liver.1.	liver
lung.1.	lung
stomach.1.	stomach
spleen.1.	spleen
muscle.1.	muscle
gallbladder.1.	gallbladder
fascia.1.	fascia
epididymis.1.	epididymis
nerve.nervus_intercostalis..1.	neuronal
kidney.1.	kidney
thyroid.1.	thyroid
testis.1.	male reproductive
tunica_albuginea.1.	male reproductive
myocardium.2.	heart
lung.2.	lung
liver.2.	liver
kidney.2.	kidney
colon.2.	gut
muscle.2.	muscle
small_intestine.duodenum..2.	gut
pancreas.2.	pancreas
small_intestine.jejunum..2.	gut
kidney.glandula_suprarenalis..2.	kidney
brain.thalamus..2.	neuronal
bone.marrow..2.	bone
spinal_cord.2.	neuronal
pleura.2.	lung
brain.pituitary_gland..2.	na
kidney.cortex_renalis..2.	kidney
stomach.2.	stomach
nerve.not_specified..2.	neuronal
esophagus.2.	esophagus
prostate.2.	prostate
adipocyte.2.	fat
skin.2.	skin
spleen.2.	spleen
brain.white_matter..2.	neuronal
brain.nucleus_caudatus..2.	neuronal
kidney.medulla_renalis..2.	kidney
thyroid.2.	thyroid
brain.gray_matter..2.	neuronal
lymph_node.2.	lymph
brain.cerebral_cortex._temporal..2.	neuronal
brain.cerebral_cortex._frontal..2.	neuronal
dura_mater.2.	na
artery.2.	artery
brain.cerebral_cortex._occipital..2.	neuronal
vein.2.	vein
brain.cerebellum..2.	neuronal
testis.2.	male reproductive
